modified,publisher.name,publisher.subOrganizationOf.name,contactPoint.fn,keyword
2019-06-12,General Services Administration,,Toni L. Holloway,Networx
2019-06-12,General Services Administration,,Toni L. Holloway,telecommunications
2019-06-12,General Services Administration,,Toni L. Holloway,<nil>
2020-04-01,General Services Administration,,Usha Gopal,Awards
2020-04-01,General Services Administration,,Usha Gopal,Contracts
2020-04-01,General Services Administration,,Usha Gopal,Quote
2020-04-01,General Services Administration,,Usha Gopal,RFQ
2020-04-01,General Services Administration,,Usha Gopal,Schedules
2020-04-01,General Services Administration,,Usha Gopal,e-Buy
2020-04-01,General Services Administration,,Usha Gopal,procurement
2020-04-01,General Services Administration,,Usha Gopal,<nil>
2019-06-12,General Services Administration,,Toni L Holloway,Contract
2019-06-12,General Services Administration,,Toni L Holloway,Networx Telecommunications
2019-06-12,General Services Administration,,Toni L Holloway,Telecommunications
2019-06-12,General Services Administration,,Toni L Holloway,<nil>
2020-02-04,General Services Administration,,Nancy V Hexmoor,august
2020-02-04,General Services Administration,,Nancy V Hexmoor,july
2020-02-04,General Services Administration,,Nancy V Hexmoor,purchase card
2020-02-04,General Services Administration,,Nancy V Hexmoor,september
2020-02-04,General Services Administration,,Nancy V Hexmoor,transactions
2020-02-04,General Services Administration,,Nancy V Hexmoor,<nil>
2020-02-20,General Services Administration,,Toni L Holloway,Contract
2020-02-20,General Services Administration,,Toni L Holloway,Networx Telecommunications
2020-02-20,General Services Administration,,Toni L Holloway,Telecommunications
2020-02-20,General Services Administration,,Toni L Holloway,<nil>
2020-02-04,General Services Administration,,Nancy V Hexmoor,december
2020-02-04,General Services Administration,,Nancy V Hexmoor,november
2020-02-04,General Services Administration,,Nancy V Hexmoor,october
2020-02-04,General Services Administration,,Nancy V Hexmoor,purchase card
2020-02-04,General Services Administration,,Nancy V Hexmoor,transactions
2020-02-04,General Services Administration,,Nancy V Hexmoor,<nil>
2020-02-04,General Services Administration,,Nancy V Hexmoor,february
2020-02-04,General Services Administration,,Nancy V Hexmoor,january
2020-02-04,General Services Administration,,Nancy V Hexmoor,march
2020-02-04,General Services Administration,,Nancy V Hexmoor,purchase card
2020-02-04,General Services Administration,,Nancy V Hexmoor,transactions
2020-02-04,General Services Administration,,Nancy V Hexmoor,<nil>
2020-02-13,General Services Administration,,James G Parks,BOCA
2020-02-13,General Services Administration,,James G Parks,Contract Board
2020-02-13,General Services Administration,,James G Parks,GSA SmartPay
2020-02-13,General Services Administration,,James G Parks,Purchase Card
2020-02-13,General Services Administration,,James G Parks,Transactions
2020-02-13,General Services Administration,,James G Parks,february
2020-02-13,General Services Administration,,James G Parks,january
2020-02-13,General Services Administration,,James G Parks,march
2020-02-13,General Services Administration,,James G Parks,<nil>
2020-02-13,General Services Administration,,James G Parks,BOCA
2020-02-13,General Services Administration,,James G Parks,Contract Board
2020-02-13,General Services Administration,,James G Parks,December
2020-02-13,General Services Administration,,James G Parks,GSA SmartPay
2020-02-13,General Services Administration,,James G Parks,November
2020-02-13,General Services Administration,,James G Parks,October
2020-02-13,General Services Administration,,James G Parks,Purchase Card
2020-02-13,General Services Administration,,James G Parks,Transactions
2020-02-13,General Services Administration,,James G Parks,<nil>
2020-02-20,General Services Administration,,Toni L Holloway,Contract
2020-02-20,General Services Administration,,Toni L Holloway,Networx Telecommunications
2020-02-20,General Services Administration,,Toni L Holloway,Telecommunications
2020-02-20,General Services Administration,,Toni L Holloway,<nil>
2020-06-26,General Services Administration,,Loren Smith,Business Volume
2020-06-26,General Services Administration,,Loren Smith,EIS
2020-06-26,General Services Administration,,Loren Smith,Enterprise Infrastructure Solutions
2020-06-26,General Services Administration,,Loren Smith,GSA
2020-06-26,General Services Administration,,Loren Smith,Telecommunications
2020-06-26,General Services Administration,,Loren Smith,<nil>
2020-06-26,General Services Administration,,Loren Smith,Business Volume
2020-06-26,General Services Administration,,Loren Smith,EIS
2020-06-26,General Services Administration,,Loren Smith,Enterprise Infrastructure Solutions
2020-06-26,General Services Administration,,Loren Smith,GSA
2020-06-26,General Services Administration,,Loren Smith,Telecommunications
2020-06-26,General Services Administration,,Loren Smith,<nil>
2021-03-25T16:16:05.905Z,General Services Administration,,Loren Smith,Business Volume
2021-03-25T16:16:05.905Z,General Services Administration,,Loren Smith,EIS
2021-03-25T16:16:05.905Z,General Services Administration,,Loren Smith,Enterprise Infrastructure Solutions
2021-03-25T16:16:05.905Z,General Services Administration,,Loren Smith,GSA
2021-03-25T16:16:05.905Z,General Services Administration,,Loren Smith,Telecommunications
2021-03-25T16:16:05.905Z,General Services Administration,,Loren Smith,<nil>
2015-11-16,General Services Administration,,Cindy Smith,consolidation
2015-11-16,General Services Administration,,Cindy Smith,fddci
2015-11-16,General Services Administration,,Cindy Smith,federal data center consolidation initiative
